Словникова форма,част. мови,абс. частота,відн. частота
щука,ім.,346,13
лихоманка,ім.,346,13
роздати,діє. д.в.,346,13
Роберт,ім.,346,13
арсенал,ім.,345,13
горбатий,прикм.,345,13
статура,ім.,345,13
чіпкий,прикм.,345,13
дурно,присл.,345,13
пластмасовий,прикм.,345,13
класовий,прикм.,345,13
привезений,д-прикм.,345,13
лікарський,прикм.,345,13
драматичний,прикм.,345,13
об'єднати,діє. д.в.,345,13
непокірний,прикм.,345,13
проспект,ім.,345,13
тлумачення,ім.,345,13
прихильний,прикм.,345,13
гойдати,діє. н.в.,345,13
незворушний,прикм.,345,13
спочити,діє. д.в.,345,13
сповнити,діє. д.в.,345,13
заповнений,д-прикм.,345,13
Тернопіль,ім.,345,13
тотальний,прикм.,345,13
наговорити,діє. д.в.,345,13
меркурій,ім.,344,13
потенційний,прикм.,344,13
повіситися,діє. д.в.,344,13
урожай,ім.,344,13
примружений,д-прикм.,344,13
виріб,ім.,344,13
зловісно,присл.,344,13
капати,діє. н.в.,344,13
ринути,діє. н.д.в.,344,13
критик,ім.,344,13
по-вашому,присл.,344,13
канат,ім.,344,13
гальмо,ім.,344,13
переплутати,діє. д.в.,344,13
юрта,ім.,344,13
каструля,ім.,344,13
зйомка,ім.,344,13
деінде,присл.,344,13
тетянка,ім.,344,13
волоцюга,ім.,344,13
ворожість,ім.,344,13
житній,прикм.,344,13
лісовик,ім.,343,13
натуральний,прикм.,343,13
заспокоюватися,діє. н.в.,343,13
хідник,ім.,343,13
прилавок,ім.,343,13
приказувати,діє. н.в.,343,13
образливий,прикм.,343,13
заступитися,діє. д.в.,343,13
прокоп,ім.,343,13
випробувати,діє. н.в.,343,13
комбінація,ім.,343,13
нагай,ім.,343,13
задовго,присл.,343,13
бувалий,прикм.,343,13
гітлерівець,ім.,343,13
потенціал,ім.,343,13
майка,ім.,343,13
випромінювання,ім.,343,13
географія,ім.,342,13
парочка,ім.,342,13
любитися,діє. н.в.,342,13
обіч,присл.,342,13
зумисне,присл.,342,13
прямісінько,присл.,342,13
торжество,ім.,342,13
звикнути,діє. д.в.,342,13
статечний,прикм.,342,13
братерство,ім.,342,13
рятівник,ім.,342,13
подружній,прикм.,342,13
метнути,діє. д.в.,342,13
передсмертний,прикм.,342,13
колос,ім.,342,13
насмішка,ім.,342,13
мішок,ім.,342,13
трішечки,присл.,342,13
розмаїтий,прикм.,342,13
переселення,ім.,342,13
ознайомитися,діє. д.в.,342,13
гонорар,ім.,342,13
фронтовий,прикм.,341,13
спиняти,діє. н.в.,341,13
канчук,ім.,341,13
фашизм,ім.,341,13
потоп,ім.,341,13
порівнятися,діє. д.в.,341,13
продиратися,діє. н.в.,341,13
картати,діє. н.в.,341,13
бульвар,ім.,341,13
зменшити,діє. д.в.,341,13
гілочка,ім.,341,13
птаство,ім.,341,13
набивати,діє. н.в.,341,13
простежити,діє. д.в.,341,13
доносити,діє. д.в.,341,13
хвацько,присл.,341,13
прогресивний,прикм.,341,13
наглядати,діє. н.в.,341,13
шурхіт,ім.,341,13
ложе,ім.,341,13
лагодити,діє. н.в.,341,13
помиритися,діє. д.в.,341,13
розсипати,діє. н.в.,341,13
британський,прикм.,341,13
вміло,присл.,341,13
від'їжджати,діє. н.в.,341,13
осколок,ім.,341,13
ураз,присл.,341,13
прочинений,д-прикм.,341,13
гілляка,ім.,341,13
сучасність,ім.,341,13
фаза,ім.,341,13
насмішкуватий,прикм.,340,13
навалитися,діє. д.в.,340,13
повчати,діє. н.в.,340,13
контекст,ім.,340,13
сплатити,діє. д.в.,340,13
наймати,діє. н.в.,340,13
Герасим,ім.,340,13
вигинатися,діє. н.в.,340,13
погром,ім.,340,13
прибій,ім.,340,13
акуратний,прикм.,340,13
гусар,ім.,340,13
плісень,ім.,340,13
позолочений,д-прикм.,340,13
виразніший,прикм.,340,13
стодола,ім.,340,13
підбігати,діє. н.в.,340,13
вічко,ім.,340,13
розбурханий,д-прикм.,340,13
побажання,ім.,340,13
Колумб,ім.,340,13
пожирати,діє. н.в.,340,13
затягувати,діє. н.в.,340,13
діловито,присл.,340,13
роздирати,діє. н.в.,340,13
костьол,ім.,340,13
туфля,ім.,340,13
миттєвий,прикм.,339,13
забігти,діє. д.в.,339,13
зсунутися,діє. д.в.,339,13
ляпнути,діє. д.в.,339,13
рідня,ім.,339,13
супутниця,ім.,339,13
оздоблений,д-прикм.,339,13
начиння,ім.,339,13
жалувати,діє. н.в.,339,13
виховати,діє. д.в.,339,13
підозріння,ім.,339,13
Царгород,ім.,339,13
таріль,ім.,339,13
взірець,ім.,339,13
стерно,ім.,339,13
ширяти,діє. н.в.,338,13
тому-то,присл.,338,13
хисткий,прикм.,338,13
дичина,ім.,338,13
пересічний,прикм.,338,13
морочити,діє. н.в.,338,13
іноземець,ім.,338,13
розправити,діє. д.в.,338,13
родичка,ім.,338,13
непривітний,прикм.,338,13
сумовитий,прикм.,338,13
покручений,д-прикм.,338,13
нарис,ім.,338,13
циліндр,ім.,338,13
наголошувати,діє. н.в.,338,13
зареготатися,діє. д.в.,338,13
якір,ім.,338,13
Полікарп,ім.,338,13
футболка,ім.,338,13
добродушний,прикм.,338,13
наслухатися,діє. н.в.,338,13
паровоз,ім.,338,13
Кіндрат,ім.,338,13
славити,діє. н.в.,338,13
обмаль,присл.,338,13
прясти,діє. н.в.,338,13
дідич,ім.,337,13
блузка,ім.,337,13
бездоганно,присл.,337,13
куркуль,ім.,337,13
райком,ім.,337,13
віддих,ім.,337,13
популярність,ім.,337,13
вада,ім.,337,13
кулеметний,прикм.,337,13
потопати,діє. н.в.,337,13
вивернути,діє. д.в.,337,13
Дмитрович,ім.,337,13
живитися,діє. н.в.,337,13
блазень,ім.,337,13
вихоплювати,діє. н.в.,337,13
гній,ім.,337,13
нівроку,присл.,337,13
знехотя,присл.,337,13
захеканий,прикм.,337,13
закружляти,діє. д.в.,337,13
мла,ім.,337,13
Мокій,ім.,337,13
грубка,ім.,337,13
археологічний,прикм.,337,13
нетерплячка,ім.,337,13
шевчук,ім.,337,13
конфедерація,ім.,337,13
голосувати,діє. н.в.,337,13
заспаний,д-прикм.,337,13
юридичний,прикм.,337,13
вивертати,діє. н.в.,337,13
викупити,діє. д.в.,337,13
синіти,діє. н.в.,336,13
блатний,прикм.,336,13
наявний,прикм.,336,13
русич,ім.,336,13
сволота,ім.,336,13
шлюз,ім.,336,13
мадяр,ім.,336,13
наполегливо,присл.,336,13
підсвідомий,прикм.,336,13
страхіття,ім.,336,13
кватирка,ім.,335,13
підйом,ім.,335,13
кіоск,ім.,335,13
Руденко,прізв.,335,13
покластися,діє. д.в.,335,13
скиглити,діє. н.в.,335,13
символічний,прикм.,335,13
настирливо,присл.,335,13
райцентр,ім.,335,13
зненавидіти,діє. д.в.,335,13
картатий,прикм.,335,13
скромність,ім.,335,13
Свиридович,ім.,335,13
звірячий,прикм.,335,13
табуретка,ім.,335,13
черв'як,ім.,335,13
божество,ім.,335,13
підглядати,діє. н.в.,335,13
курсант,ім.,334,13
заголосити,діє. д.в.,334,13
жриця,ім.,334,13
найсильніший,прикм.,334,13
тютюновий,прикм.,334,13
підвладний,прикм.,334,13
розмальований,д-прикм.,334,13
Іспанія,ім.,334,13
стрімголов,присл.,334,13
кузина,ім.,334,13
династія,ім.,334,13
оксамит,ім.,334,13
переставляти,діє. н.в.,334,13
зобов'язаний,д-прикм.,334,13
футбольний,прикм.,334,13
пошити,діє. д.в.,334,13
ієрархія,ім.,334,13
горнутися,діє. н.в.,334,13
поморщитися,діє. д.в.,334,13
рівчак,ім.,334,13
нітрохи,присл.,334,13
обертати,діє. н.в.,334,13
різнокольоровий,прикм.,334,13
ляда,ім.,334,13
бронза,ім.,334,13
часами,присл.,334,13
криза,ім.,334,13
крити,діє. н.в.,334,13
Греція,ім.,334,13
помандрувати,діє. д.в.,333,13
зіткнення,ім.,333,13
пристань,ім.,333,13
зміцнити,діє. д.в.,333,13
Барановський,прізв.,333,13
ведмежий,прикм.,333,13
переписати,діє. д.в.,333,13
спричинити,діє. д.в.,333,13
ідіотський,прикм.,333,13
рідше,присл.,333,13
почасти,присл.,333,13
відбувати,діє. н.в.,333,13
Черемош,ім.,333,13
пароль,ім.,333,13
Сміт,прізв.,333,13
хоробрість,ім.,333,13
канцлер,ім.,333,13
конкурс,ім.,333,13
Румунія,ім.,333,13
вибухівка,ім.,333,13
дрючок,ім.,332,13
правобережжя,ім.,332,13
Атлантида,ім.,332,13
Рузвельт,прізв.,332,13
тертися,діє. н.в.,332,13
пробачення,ім.,332,13
прах,ім.,332,13
суглоб,ім.,332,13
стражник,ім.,332,13
обвинувачення,ім.,332,13
роба,ім.,332,13
сповзти,діє. д.в.,332,13
селити,діє. н.в.,332,13
холера,ім.,332,13
ратуша,ім.,332,13
експертиза,ім.,332,13
купіль,ім.,332,13
гарчати,діє. н.в.,332,13
ярий,прикм.,332,13
звинуватити,діє. д.в.,332,13
бильце,ім.,332,13
синтез,ім.,332,13
пролити,діє. д.в.,332,13
губернія,ім.,331,13
валізка,ім.,331,13
сховище,ім.,331,13
жбурляти,діє. н.в.,331,13
жилавий,прикм.,331,13
персонал,ім.,331,13
схильність,ім.,331,13
вилиця,ім.,331,13
рогатий,прикм.,331,13
хлюпнути,діє. д.в.,331,13
претендувати,діє. н.в.,331,13
обсерваторія,ім.,331,13
записатися,діє. д.в.,331,13
германський,прикм.,331,13
розгром,ім.,331,13
притягти,діє. д.в.,331,13
халупа,ім.,331,13
Волинь,ім.,331,13
безладний,прикм.,331,13
граніт,ім.,331,13
насупити,діє. д.в.,331,13
задумливий,прикм.,331,13
непростий,прикм.,331,13
Макаров,прізв.,330,13
басейн,ім.,330,13
шукання,ім.,330,13
Мюллер,прізв.,330,13
абсурд,ім.,330,13
спрямовувати,діє. н.в.,330,13
недолік,ім.,330,13
світильник,ім.,330,13
клясти,діє. н.в.,330,13
метелиця,ім.,330,13
розпал,ім.,330,13
машталір,ім.,330,13
Микитович,ім.,330,13
поручник,ім.,330,13
рояль,ім.,330,13
донецький,прикм.,330,13
плетений,д-прикм.,330,13
пожовклий,д-прикм.,329,13
наведений,д-прикм.,329,13
космодром,ім.,329,13
виникнення,ім.,329,13
тріумф,ім.,329,13
чарівник,ім.,329,13
ваза,ім.,329,13
дідуган,ім.,329,13
впитися,діє. д.в.,329,13
збірник,ім.,329,13
риб'ячий,прикм.,329,13
Скоропадський,прізв.,329,13
поводження,ім.,329,13
розряд,ім.,329,13
впевнитися,діє. д.в.,329,13
трощити,діє. н.в.,329,13
роздерти,діє. д.в.,329,13
відлуння,ім.,329,13
невтомно,присл.,329,13
здаля,присл.,329,13
Браун,прізв.,328,13
зоставити,діє. д.в.,328,13
відозва,ім.,328,13
Єлизавета,ім.,328,13
бажано,присл.,328,13
сказитися,діє. д.в.,328,13
величати,діє. н.в.,328,13
підкорити,діє. д.в.,328,13
абориген,ім.,328,13
сьорбати,діє. н.в.,328,13
гігант,ім.,328,13
одягнутий,д-прикм.,328,13
виповнитися,діє. д.в.,328,13
болячка,ім.,328,13
Всеволод,ім.,328,13
єзуїт,ім.,328,13
абстрактний,прикм.,328,13
мавка,ім.,328,13
відвертатися,діє. н.в.,328,13
масив,ім.,328,13
поганський,прикм.,328,13
обговорити,діє. д.в.,328,13
пивниця,ім.,328,13
забракнути,діє. д.в.,328,13
зась,присудкове слово,327,13
зреагувати,діє. д.в.,327,13
аптека,ім.,327,13
підбити,діє. д.в.,327,13
довічний,прикм.,327,13
стольний,прикм.,327,13
відзнака,ім.,327,13
смажити,діє. н.в.,327,13
мостовий,прикм.,327,13
братський,прикм.,327,13
Лисенко,прізв.,327,13
роззявлений,д-прикм.,327,13
жаданий,д-прикм.,327,13
силовий,прикм.,327,13
формально,присл.,327,13
виписувати,діє. н.в.,327,13
віник,ім.,327,13
рекламний,прикм.,327,13
жмут,ім.,327,13
офіціантка,ім.,327,13
сливе,присл.,327,13
дефіцит,ім.,326,13
корито,ім.,326,13
Хосе,ім.,326,13
доста,присл.,326,13
ймення,ім.,326,13
наосліп,присл.,326,13
стурбований,д-прикм.,326,13
перлина,ім.,326,13
вставляти,діє. н.в.,326,13
хуртовина,ім.,326,13
по-третє,присл.,326,13
налягати,діє. н.в.,326,13
стрельнути,діє. д.в.,326,13
скиба,ім.,326,13
хутенько,присл.,326,13
виготовити,діє. д.в.,326,13
шедевр,ім.,326,13
непроханий,прикм.,325,13
заночувати,діє. д.в.,325,13
фактичний,прикм.,325,13
інопланетянин,ім.,325,13
сибірський,прикм.,325,13
виконаний,д-прикм.,325,13
ад'ютант,ім.,325,13
соборний,прикм.,325,13
спотворений,д-прикм.,325,13
галіфе,ім.,325,13
тапчан,ім.,325,13
відраза,ім.,325,13
нахил,ім.,325,13
юда,ім.,325,13
колегія,ім.,325,13
щохвилини,присл.,325,13
Єлисей,ім.,325,13
тягти,діє. н.в.,325,13
витріщити,діє. д.в.,325,13
докласти,діє. д.в.,325,13
переважати,діє. н.в.,325,13
кам'янистий,прикм.,325,13
визначатися,діє. н.в.,325,13
нахаба,ім.,324,13
перина,ім.,324,13
убрання,ім.,324,13
завислий,д-прикм.,324,13
доживати,діє. н.в.,324,13
пищати,діє. д.в.,324,13
духовність,ім.,324,13
жердина,ім.,324,13
різнитися,діє. н.в.,324,13
ламатися,діє. н.в.,324,13
прослизнути,діє. д.в.,324,13
перехилитися,діє. д.в.,324,13
харчуватися,діє. н.в.,324,13
випробовувати,діє. н.в.,324,13
ув'язнений,д-прикм.,324,13
звернення,ім.,323,13
волос,ім.,323,13
нездатний,прикм.,323,13
Васюта,прізв.,323,13
онде,частка,323,13
ззовні,присл.,323,13
Самойлович,прізв.,323,13
трибунал,ім.,323,13
немилосердно,присл.,323,13
заставлений,д-прикм.,323,13
критикувати,діє. н.в.,323,13
заспокійливо,присл.,323,13
переховуватися,діє. н.в.,323,13
принципово,присл.,323,13
хмарно,присл.,323,13
отруїти,діє. д.в.,323,13
моторний,прикм.,323,13
побоювання,ім.,323,13
вибитий,д-прикм.,323,13
хмикнути,діє. д.в.,323,13
Якуб,ім.,323,13
впускати,діє. н.в.,323,13
мусульманин,ім.,323,13
словечко,ім.,323,13
виручити,діє. д.в.,323,13
друкуватися,діє. н.в.,323,13
розбудова,ім.,323,13
слабо,присл.,323,13
чотириста,кіл. числ.,323,13
тлумачити,діє. н.в.,322,13
кліпнути,діє. д.в.,322,13
домагання,ім.,322,13
невдаха,ім.,322,13
поличка,ім.,322,13
перевертатися,діє. н.в.,322,13
покров,ім.,322,13
похилений,д-прикм.,322,13
чота,ім.,322,13
зростання,ім.,322,13
верстат,ім.,322,13
видніший,прикм.,322,13
капіталістичний,прикм.,322,13
подільський,прикм.,322,13
впливовий,прикм.,322,13
втішатися,діє. н.в.,322,13
Кирилович,ім.,322,13
радикальний,прикм.,321,13
довірити,діє. д.в.,321,13
сталь,ім.,321,13
спокутувати,діє. н.в.,321,13
перечекати,діє. д.в.,321,13
столітній,прикм.,321,13
осуд,ім.,321,13
обитель,ім.,321,13
обмінюватися,діє. н.в.,321,13
ґвалтувати,діє. н.в.,321,13
сторожовий,прикм.,321,13
молотити,діє. н.в.,321,13
млявий,прикм.,321,13
повсякчас,присл.,321,13
косар,ім.,321,13
видовжений,д-прикм.,321,13
потічок,ім.,321,13
песик,ім.,321,13
живо,присл.,321,13
позбавляти,діє. н.в.,321,13
заливатися,діє. д.в.,321,13
протистояти,діє. н.в.,320,13
царина,ім.,320,13
нечутний,прикм.,320,13
вечоріти,діє. н.в.,320,13
запряжений,д-прикм.,320,13
невгамовний,прикм.,320,13
прати,діє. н.в.,320,13
інтрига,ім.,320,13
мальовничий,прикм.,320,13
по-твоєму,присл.,320,13
навпочіпки,присл.,320,13
частокіл,ім.,320,13
перепинити,діє. д.в.,320,13
пролежати,діє. д.в.,320,13
переконуватися,діє. н.в.,320,13
прийняття,ім.,320,13
ванна,ім.,320,13
варта,ім.,320,13
схвалити,діє. д.в.,319,13
лікарняний,прикм.,319,13
наштовхнутися,діє. д.в.,319,13
принишклий,прикм.,319,13
найдавніший,прикм.,319,13
ля,ім.,319,13
підкреслено,присл.,319,13
реалізація,ім.,319,13
майстерно,присл.,319,13
зобов'язання,ім.,319,13
гайнути,діє. д.в.,319,13
скарати,діє. д.в.,319,13
банкір,ім.,319,13
вуж,ім.,319,13
математичний,прикм.,319,13
поспіль,присл.,319,13
зубний,прикм.,319,13
неприродно,присл.,319,13
наповнитися,діє. д.в.,319,13
кавалок,ім.,319,13
втирати,діє. н.в.,319,13
політик,ім.,319,13
сквер,ім.,319,13
очистити,діє. д.в.,319,13
алла,ім.,319,13
лежанка,ім.,318,13
скульптура,ім.,318,13
подряпина,ім.,318,13
поснути,діє. д.в.,318,13
розробити,діє. д.в.,318,13
договорити,діє. д.в.,318,13
винуватець,ім.,318,13
загадати,діє. д.в.,318,13
господарка,ім.,318,13
задкувати,діє. н.в.,318,13
карк,ім.,318,13
де-небудь,присл.,318,13
зглянутися,діє. д.в.,318,13
тисяцький,ім.,318,13
обіцяний,д-прикм.,318,13
нехтувати,діє. н.в.,318,13
гармонійний,прикм.,318,13
шматувати,діє. н.в.,318,13
кит,ім.,318,13
видержати,діє. д.в.,318,13
миршавий,прикм.,318,13
трос,ім.,318,13
навсібіч,присл.,318,13
Попов,прізв.,318,13
нетерплячий,прикм.,318,13
миля,ім.,318,13
навстріч,присл.,318,13
підрозділ,ім.,318,13
найрізноманітніший,прикм.,318,13
зважуватися,діє. н.в.,318,13
наплічник,ім.,318,13
забачити,діє. д.в.,317,13
підвалина,ім.,317,13
схрестити,діє. д.в.,317,13
догодити,діє. д.в.,317,13
хабар,ім.,317,13
готово,присл.,317,13
спросоння,присл.,317,13
чигати,діє. н.в.,317,13
архітектура,ім.,317,13
ректи,діє. н.в.,317,13
приглушений,д-прикм.,317,13
припис,ім.,317,13
Степанида,ім.,317,13
поготів,присл.,317,13
шарпнути,діє. д.в.,317,13
макітра,ім.,317,13
Довбуш,прізв.,317,13
ягня,ім.,317,13
спільно,присл.,317,13
відгадати,діє. д.в.,317,13
невичерпний,прикм.,317,13
зашипіти,діє. д.в.,317,13
Будда,ім.,317,13
пробурчати,діє. д.в.,317,13
черевичок,ім.,317,13
переважний,прикм.,317,13
покотити,діє. д.в.,317,13
засмутити,діє. д.в.,317,13
Марк,ім.,317,13
запивати,діє. н.в.,316,13
річечка,ім.,316,13
кирпатий,прикм.,316,13
використовуватися,діє. н.в.,316,13
секта,ім.,316,13
амбіція,ім.,316,13
з'їдати,діє. н.в.,316,13
ракетний,прикм.,316,13
даремний,прикм.,316,13
удача,ім.,316,13
призначати,діє. н.в.,316,13
неушкоджений,прикм.,316,13
обожнювати,діє. н.в.,316,13
тупцювати,діє. н.в.,316,13
прецінь,спол.,316,13
ножиці,ім.,316,13
скрикувати,діє. н.в.,316,13
прочитаний,д-прикм.,316,13
пронестися,діє. д.в.,316,13
трипільський,прикм.,316,13
прокладати,діє. н.в.,316,13
поворушити,діє. д.в.,316,13
волот,ім.,315,13
застрелити,діє. д.в.,315,13
безбарвний,прикм.,315,13
капіталізм,ім.,315,13
хазяйський,прикм.,315,13
шакал,ім.,315,13
находити,діє. н.в.,315,13
онуча,ім.,315,13
Гасан,ім.,315,13
дозорець,ім.,315,13
віконниця,ім.,315,13
Швейцарія,ім.,315,13
безумний,прикм.,315,13
вітчим,ім.,315,13
найдальший,прикм.,315,13
безіменний,прикм.,315,13
людність,ім.,315,13
карлик,ім.,315,13
екстаз,ім.,315,13
твердиня,ім.,315,13
ночівля,ім.,315,13
відносити,діє. н.в.,315,13
еллін,ім.,315,13
розбиватися,діє. н.в.,315,13
силувати,діє. н.в.,315,13
цеглина,ім.,315,13
скасувати,діє. д.в.,315,13
домовленість,ім.,315,13
сякий-такий,займ.,315,13
одужати,діє. д.в.,315,13
інвалід,ім.,315,13
покликання,ім.,315,13
уміння,ім.,315,13
донець,ім.,314,13
аналогічний,прикм.,314,13
налагодити,діє. д.в.,314,13
розгромити,діє. д.в.,314,13
вихваляти,діє. н.в.,314,13
фінал,ім.,314,13
розгадка,ім.,314,13
пристрасно,присл.,314,13
всячина,ім.,314,13
кузен,ім.,314,13
вглиб,присл.,314,13
штучка,ім.,314,13
відгукуватися,діє. н.в.,314,13
земський,прикм.,314,13
замкнутий,прикм.,314,13
куплений,д-прикм.,314,13
описаний,д-прикм.,314,13
безкраїй,прикм.,314,13
незгода,ім.,314,13
пиячити,діє. н.в.,314,13
сповзати,діє. н.в.,314,13
кволо,присл.,314,13
Омелян,ім.,314,13
спішно,присл.,314,13
новела,ім.,314,13
побудований,д-прикм.,314,13
ласий,прикм.,313,13
липовий,прикм.,313,13
збільшувати,діє. н.в.,313,13
неголений,прикм.,313,13
копистка,ім.,313,13
даром,присл.,313,13
репресія,ім.,313,13
провал,ім.,313,13
звитяга,ім.,313,13
реактор,ім.,313,13
покуштувати,діє. д.в.,313,13
софа,ім.,313,13
клумба,ім.,313,13
гарба,ім.,313,13
ступнути,діє. д.в.,313,13
видужати,діє. д.в.,313,13
нужденний,прикм.,313,13
вродити,діє. н.в.,313,13
вичавити,діє. д.в.,312,13
Георг,ім.,312,13
цілість,ім.,312,13
прудко,присл.,312,13
терези,ім.,312,13
сатанинський,прикм.,312,13
оминати,діє. н.в.,312,13
африканський,прикм.,312,13
дзвіночок,ім.,312,13
безсоння,ім.,312,13
наступник,ім.,312,13
мінливий,прикм.,312,13
фундамент,ім.,312,13
тисячний,прикм.,312,13
глобус,ім.,312,13
гординя,ім.,312,13
похоронний,прикм.,312,13
нюх,ім.,312,13
суттєвий,прикм.,312,13
гармидер,ім.,312,13
первосвященик,ім.,312,13
гнітючий,прикм.,312,13
малоросійський,прикм.,312,13
безладно,присл.,312,13
досконалість,ім.,311,13
спалювати,діє. н.в.,311,13
заболіти,діє. д.в.,311,13
ляскати,діє. н.в.,311,13
засмучений,д-прикм.,311,13
здирати,діє. н.в.,311,13
заслати,діє. д.в.,311,13
станути,діє. д.в.,311,13
звідкілясь,присл.,311,13
знаючий,д-прикм.,311,13
безневинний,прикм.,311,13
котячий,прикм.,311,13
грудочка,ім.,311,13
присвячений,д-прикм.,311,13
застрибати,діє. н.в.,311,13
потайний,прикм.,311,13
жалібний,прикм.,311,13
примирливо,присл.,311,13
поліно,ім.,311,13
радуватися,діє. н.в.,311,13
поталанити,діє. д.в.,311,13
зневіра,ім.,311,13
добродій,ім.,311,13
витримка,ім.,311,13
залазити,діє. н.в.,311,13
обшивка,ім.,311,13
горщок,ім.,311,13
італієць,ім.,310,13
неіснуючий,прикм.,310,13
тривожитися,діє. н.в.,310,13
провокатор,ім.,310,13
братній,прикм.,310,13
плентатися,діє. н.в.,310,13
трунок,ім.,310,13
психіатр,ім.,310,13
запізнюватися,діє. н.в.,310,13
опівдні,присл.,310,13
повсюди,присл.,310,13
камін,ім.,310,13
об'явитися,діє. д.в.,310,13
юрма,ім.,310,13
підкрадатися,діє. н.в.,310,13
кам'янка,ім.,310,13
долу,присл.,310,13
щітка,ім.,310,13
розлітатися,діє. н.в.,310,13
задовольняти,діє. н.в.,310,13
педагогічний,прикм.,310,13
збентежитися,діє. д.в.,310,13
волочитися,діє. д.в.,310,13
парус,ім.,310,13
вірування,ім.,310,13
енциклопедія,ім.,309,13
здобутий,д-прикм.,309,13
однокласник,ім.,309,13
зацікавлення,ім.,309,13
переглянутися,діє. д.в.,309,13
сажень,ім.,309,13
проливати,діє. н.в.,309,13
скривдити,діє. д.в.,309,13
ненка,ім.,309,13
скривити,діє. д.в.,309,13
амінь,частка,309,13
затямити,діє. д.в.,309,13
поспіх,ім.,309,13
скорботний,прикм.,309,13
грозовий,прикм.,309,13
англієць,ім.,309,13
дрож,ім.,309,13
жартівливий,прикм.,309,13
змішаний,д-прикм.,309,13
пересмикнути,діє. д.в.,309,13
скала,ім.,309,13
друкований,д-прикм.,309,13
клубочитися,діє. н.в.,309,13
ліщина,ім.,309,13
лавина,ім.,309,13
агов,вигук,309,13
дорогенький,прикм.,309,13
кораловий,прикм.,308,13
зиск,ім.,308,13
заснований,д-прикм.,308,13
татів,прикм.,308,13
поцілити,діє. д.в.,308,13
закапелок,ім.,308,13
заслужений,д-прикм.,308,13
підсвідомо,присл.,308,13
воша,ім.,308,13
урядник,ім.,308,13
одеський,прикм.,308,13
псевдонім,ім.,308,13
засновник,ім.,308,13
встановлений,д-прикм.,308,13
пояснюватися,діє. н.в.,308,13
винищити,діє. д.в.,308,13
семінарія,ім.,308,13
старіти,діє. н.в.,308,13
змилуватися,діє. д.в.,308,13
сила-силенна,ім.,308,13
пригнутися,діє. д.в.,308,13
послідовно,присл.,307,13
зажуритися,діє. д.в.,307,13
перелетіти,діє. д.в.,307,13
браслет,ім.,307,13
більшати,діє. н.в.,307,13
упертися,діє. д.в.,307,13
прислів'я,ім.,307,13
вена,ім.,307,13
їдкий,прикм.,307,13
кубок,ім.,307,13
призвичаїтися,діє. д.в.,307,13
встановлювати,діє. н.в.,307,13
клекіт,ім.,307,13
мальований,д-прикм.,307,13
цур,вигук,307,13
льон,ім.,307,13
чарівниця,ім.,307,13
різдвяний,прикм.,307,13
бармен,ім.,307,13
побороти,діє. д.в.,307,13
протистояння,ім.,306,13
Куліш,прізв.,306,13
ревіння,ім.,306,13
ширитися,діє. н.в.,306,13
теоретично,присл.,306,13
неодноразово,присл.,306,13
прикриття,ім.,306,13
позирнути,діє. д.в.,306,13
відштовхувати,діє. н.в.,306,13
проявити,діє. д.в.,306,13
під'їжджати,діє. н.в.,306,13
повноваження,ім.,306,13
сипнути,діє. н.в.,306,13
витати,діє. н.в.,306,13
вітрило,ім.,306,13
государ,ім.,306,13
неправильний,прикм.,306,13
ляк,ім.,306,13
меншати,діє. н.в.,306,13
необмежений,прикм.,306,13
трактат,ім.,306,13
перелаз,ім.,306,13
принциповий,прикм.,306,13
здибати,діє. н.в.,306,13
пиятика,ім.,306,13
споглядання,ім.,306,13
збільшитися,діє. д.в.,305,13
радгосп,ім.,305,13
тихцем,присл.,305,13
звісити,діє. д.в.,305,13
ладан,ім.,305,13
гробниця,ім.,305,13
моргнути,діє. д.в.,305,13
несправедливий,прикм.,305,13
запрацювати,діє. д.в.,305,13
засичати,діє. д.в.,305,13
брязнути,діє. д.в.,305,13
Текля,ім.,305,13
розстебнути,діє. д.в.,305,13
сенсація,ім.,305,13
тік,ім.,305,13
Махно,прізв.,305,13
спроквола,присл.,305,13
чудесно,присл.,305,13
хлюпати,діє. н.в.,305,13
голодувати,діє. н.в.,305,13
канава,ім.,305,13
гостинність,ім.,305,13
вихованець,ім.,305,13
заскрипіти,діє. д.в.,304,13
брянський,прикм.,304,13
сімнадцятий,пор. числ.,304,13
пронести,діє. д.в.,304,13
вмістити,діє. д.в.,304,13
тиран,ім.,304,13
виготовляти,діє. н.в.,304,13
Коран,ім.,304,13
густіший,прикм.,304,13
пхатися,діє. н.в.,304,13
кошара,ім.,304,13
вчути,діє. д.в.,304,13
засмутитися,діє. д.в.,304,13
сприятливий,прикм.,304,13
вдова,ім.,304,13
вродитися,діє. д.в.,304,13
ріст,ім.,304,13
повноцінний,прикм.,304,13
тім'я,ім.,304,13
крапелька,ім.,304,13
гетьманщина,ім.,304,13
примхливий,прикм.,304,13
диктатура,ім.,304,13
вівторок,ім.,304,13
розриватися,діє. н.в.,304,13
наставляти,діє. н.в.,304,13
варязький,прикм.,304,13
накликати,діє. н.в.,304,13
переймати,діє. н.в.,304,13
незрівнянний,прикм.,304,13
зворушити,діє. д.в.,303,13
шахтар,ім.,303,13
охоплений,д-прикм.,303,13
розважливо,присл.,303,13
запротестувати,діє. д.в.,303,13
буревій,ім.,303,13
тичина,ім.,303,13
допити,діє. д.в.,303,13
